station,elevation,latitude,longitude,year,Jan_TOBS,Feb_TOBS,Mar_TOBS,Apr_TOBS,May_TOBS,Jun_TOBS,Jul_TOBS,Aug_TOBS,Sep_TOBS,Oct_TOBS,Nov_TOBS,Dec_TOBS,Annual_TOBS,Jan_TMIN,Feb_TMIN,Mar_TMIN,Apr_TMIN,May_TMIN,Jun_TMIN,Jul_TMIN,Aug_TMIN,Sep_TMIN,Oct_TMIN,Nov_TMIN,Dec_TMIN,Annual_TMIN,Jan_TMAX,Feb_TMAX,Mar_TMAX,Apr_TMAX,May_TMAX,Jun_TMAX,Jul_TMAX,Aug_TMAX,Sep_TMAX,Oct_TMAX,Nov_TMAX,Dec_TMAX,Annual_TMAX,Jan_PRCP,Feb_PRCP,Mar_PRCP,Apr_PRCP,May_PRCP,Jun_PRCP,Jul_PRCP,Aug_PRCP,Sep_PRCP,Oct_PRCP,Nov_PRCP,Dec_PRCP,Annual_PRCP,Jan_SNOW,Feb_SNOW,Mar_SNOW,Apr_SNOW,May_SNOW,Jun_SNOW,Jul_SNOW,Aug_SNOW,Sep_SNOW,Oct_SNOW,Nov_SNOW,Dec_SNOW,Annual_SNOW,Jan_SNWD,Feb_SNWD,Mar_SNWD,Apr_SNWD,May_SNWD,Jun_SNWD,Jul_SNWD,Aug_SNWD,Sep_SNWD,Oct_SNWD,Nov_SNWD,Dec_SNWD,Annual_SNWD
US1FLBK0002,29.9,30.2447,-82.1224,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1125,3.275,3.840625,2.7703125,1.6484375,6.096875,8.8375,8.29375,1.79375,1.9265625,0.1966796875,1.890625,3.634375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
US1FLBK0003,40.2,30.3212,-82.2757,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.578125,3.234375,3.665625,1.22265625,1.1828125,8.3,9.71875,0.380078125,1.51953125,0.13662109375,1.58359375,3.209375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
US1FLBK0003,40.2,30.3212,-82.2757,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9578125,1.7328125,1.2546875,0.8140625,10.06875,1.38984375,3.584375,6.60625,3.465625,1.54140625,0.703515625,5.934375,3.259375,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0003,40.2,30.3212,-82.2757,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.540625,4.040625,0.687109375,0.35859375,2.721875,2.053125,3.04375,6.2125,0.3400390625,0.0,2.809375,0.5,2.221875,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0003,40.2,30.3212,-82.2757,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8734375,3.565625,0.787109375,0.996875,,3.371875,5.86875,2.1640625,4.021875,2.8546875,2.646875,2.5,2.8515625,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0003,40.2,30.3212,-82.2757,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13203125,2.021875,2.3203125,1.48984375,3.003125,11.5875,6.10625,5.521875,2.5578125,0.3419921875,0.0,1.43515625,3.0515625,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0005,39.0,30.237,-82.2189,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53125,4.675,2.5390625,1.08359375,1.65,3.934375,7.3125,4.940625,3.14375,3.246875,1.746875,1.52265625,3.571875,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0006,36.3,30.2985,-82.1624,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.834375,1.953125,1.8515625,0.519140625,4.68125,6.39375,6.103125,5.665625,2.8375,0.0,0.8796875,0.667578125,2.925,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0006,36.3,30.2985,-82.1624,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11875,3.946875,2.0921875,1.08984375,1.253125,2.6796875,4.290625,2.35,4.228125,3.90625,2.00625,1.3796875,2.896875,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0006,36.3,30.2985,-82.1624,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503125,1.7109375,1.2140625,2.496875,5.078125,8.5625,1.796875,6.234375,3.8,2.4203125,0.256640625,1.28671875,2.85625,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0007,40.2,30.2161,-82.1606,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.6328125,6.021875,2.109375,8.85,2.290625,0.0258056640625,1.11328125,0.7515625,2.015625,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLBK0007,40.2,30.2161,-82.1606,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2125,4.365625,2.1125,1.3296875,1.8453125,3.315625,6.35625,5.034375,3.0640625,2.6484375,2.159375,0.903125,3.190625,,,,,,,,,,,,,,,,,,,,,,,,,,
US1FLHM0002,38.1,30.5641,-83.194,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8421875,1.42109375,2.409375,7.26875,2.9875,5.578125,5.078125,9.3625,3.540625,1.5390625,1.29296875,5.653125,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
